Source ID,Target ID,Usage,Shipment Mode,Shipment Cap,Shipment Operation,R,PartKey,SS,Shipmment Speed,Distance Correction Multiplier,ShipFreq,Shipment in a day,TShCap,distance,LT,SDT_LT,SSF
T11,Final Node,1,Truck_48,972,11,1,HVAC Module,90,45,1.25,1,4,2100,151.0345902,1,0.218070371,64
T12,Final Node,1,Truck_48,6480,11,1,Cockpit,200,45,1.25,1,1,1500,240.7537817,1,0.368175715,106
T17,Final Node,1,Truck_48,3110,11,1,Engine,90,45,1.25,1,32,4800,1.021864017,1,0.056274941,25
T13,Final Node,1,Truck_48,3110,11,3,A/C lines,200,45,1.25,1,1,2100,946.0722211,3,2.938832606,829
T14,Final Node,3,Truck_48,97207,11,2,A/C Ducts,100,45,1.25,1,1,2100,897.9385168,5,2.684954668,757
T15,Final Node,2,Truck_48,1654,11,2,Heater Hoses,400,45,1.25,1,1,2100,661.458233,3,1.604567086,456
T16,Final Node,2,Truck_48,3110,11,2,Ambient Sensor,100,45,1.25,1,1,2100,522.3662923,2,1.098657401,310
T22,T11,2,Truck_48,1654,11,2,,0,45,1.25,1,1,1100,566.6796418,2,1.249419846,352
T23,T11,2,Truck_48,3110,11,1,,0,45,1.25,1,1,1100,1525.243576,6,17.30751938,4857
T24,T11,2,Truck_48,5994,11,3,,0,45,1.25,1,1,1100,1618.879281,3,19.49778816,5472
T25,T11,2,Truck_48,2631,11,3,,0,45,1.25,2,1,23000,49.15213916,1,0.096025053,33
T27,T12,2,Truck_48,1654,11,3,,0,45,1.25,1,32,4800,802.0075594,5,2.213246326,623
T21,T12,1,Truck_48,1234,11,4,,0,45,1.25,2,1,1100,840.5191513,3,2.397130333,674
T28,T12,2,Truck_48,8239,11,5,,0,45,1.25,1,1,2100,1908.444422,6,27.09664062,7604
T29,T17,2,Truck_48,2836,11,3,,0,45,1.25,2,1,25000,1016.345624,4,3.330119845,935
T26,T29,2,Boat_40,1432,23,5,,0,30,1.1,15,1,23000,7509.373264,48,167.2019594,46921
T31,T21,1,Boat_40,5589,23,5,,0,30,1.1,15,1,23000,6495.967924,11,125.1185555,35111
T33,T26,2,Truck_48,2836,11,3,,0,45,1.25,2,1,25000,59.74382297,0,0.106314988,30
T32,T27,1,Truck_48,8239,11,4,,0,45,1.25,1,1,3000,1788.5399,11,23.79872464,6679
T34,T25,2,Boat_40,2631,23,4,,0,30,1.1,15,1,23000,5795.284987,28,99.58262581,27945
