,Node,Risk,Frequency,Severity,Duration,Unnamed: 0,Unnamed: 0.1
0,Final Node,4,0.086,0.214,1.0,0.0,0.0
1,T11,3,0.074,0.143,4.0,1.0,1.0
2,T12,4,0.086,0.214,0.0,2.0,2.0
3,T13,3,0.074,0.143,0.0,3.0,3.0
4,T14,3,0.074,0.143,47.0,4.0,4.0
5,T15,2,0.062,0.071,57.0,5.0,5.0
6,T16,3,0.074,0.143,134.0,6.0,6.0
7,T17,3,0.074,0.143,1.0,7.0,7.0
8,T21,4,0.086,0.214,20.0,8.0,8.0
9,T22,3,0.074,0.143,46436.0,9.0,9.0
10,T23,3,0.074,0.143,1.0,10.0,10.0
11,T24,2,0.062,0.071,30.0,11.0,11.0
12,T25,4,0.086,0.214,2.0,12.0,12.0
13,T26,2,0.062,0.071,238.0,13.0,13.0
14,T27,4,0.086,0.214,0.0,14.0,14.0
15,T28,2,0.062,0.071,0.0,15.0,15.0
16,T29,5,0.098,0.286,3263.0,16.0,16.0
17,T31,4,0.086,0.214,2.0,17.0,17.0
18,T32,3,0.074,0.143,166.0,18.0,18.0
19,T33,2,0.062,0.071,1.0,19.0,19.0
20,T34,3,0.074,0.143,4.0,20.0,20.0
